timestamp,epoch_time,image_filename,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,gps_utc,gps_lat,gps_ns,gps_lon,gps_ew,gps_speed_kn,gps_course_deg,gps_valid
2025-11-01_15-50-12-315,1761992412.3159802,images/image_2025-11-01_15-50-12-315_0029.jpg,-0.0999,0.1206,0.99,1.229,-2.809,-22.641,102012.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-12-791,1761992412.7918506,images/image_2025-11-01_15-50-12-791_0030.jpg,-0.0588,0.1582,0.9998,-5.321,2.489,-47.771,102012.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-13-267,1761992413.2674868,images/image_2025-11-01_15-50-13-267_0031.jpg,-0.1372,0.1641,1.0227,11.336,-7.656,-38.137,102013.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-13-709,1761992413.709647,images/image_2025-11-01_15-50-13-709_0032.jpg,-0.0791,0.1287,0.9634,-7.061,-9.214,-51.168,102013.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-14-478,1761992414.4790173,images/image_2025-11-01_15-50-14-478_0033.jpg,-0.0378,0.0793,0.999,-9.344,2.16,-5.809,102014.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-14-915,1761992414.9155796,images/image_2025-11-01_15-50-14-915_0034.jpg,-0.1931,0.04,0.9978,-8.397,24.183,51.466,102014.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-15-413,1761992415.4137485,images/image_2025-11-01_15-50-15-413_0035.jpg,-0.1584,0.0708,1.041,-9.046,11.145,26.489,102015.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-15-889,1761992415.8893795,images/image_2025-11-01_15-50-15-889_0036.jpg,-0.1455,0.0698,0.9719,-21.115,-2.718,28.58,102015.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-16-489,1761992416.4899635,images/image_2025-11-01_15-50-16-489_0037.jpg,-0.3264,0.0581,0.9426,-12.176,7.053,21.992,102016.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-17-013,1761992417.0132358,images/image_2025-11-01_15-50-17-013_0038.jpg,-0.2004,-0.0671,0.9478,-6.557,-1.534,5.29,102017.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-17-624,1761992417.6251025,images/image_2025-11-01_15-50-17-624_0039.jpg,-0.1277,0.1538,0.9846,1.107,12.008,18.618,102017.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-18-228,1761992418.228672,images/image_2025-11-01_15-50-18-228_0040.jpg,-0.1511,0.1519,0.9036,11.435,9.71,34.565,102018.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-18-753,1761992418.7533143,images/image_2025-11-01_15-50-18-753_0041.jpg,-0.1787,0.2046,0.9292,-27.206,1.573,16.26,102018.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-19-676,1761992419.676822,images/image_2025-11-01_15-50-19-676_0042.jpg,-0.2744,0.2217,0.9521,-0.794,3.779,3.206,102019.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-20-190,1761992420.1908958,images/image_2025-11-01_15-50-20-190_0043.jpg,-0.2002,0.2876,0.843,-35.229,12.443,0.794,102020.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-20-691,1761992420.6912208,images/image_2025-11-01_15-50-20-691_0044.jpg,-0.1292,0.1172,0.9478,11.374,-10.985,-6.954,102020.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-21-244,1761992421.2447798,images/image_2025-11-01_15-50-21-244_0045.jpg,-0.0945,-0.0906,0.9543,-29.427,-9.16,-6.573,102021.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-21-723,1761992421.7231858,images/image_2025-11-01_15-50-21-723_0046.jpg,-0.1763,-0.259,0.8633,-2.351,21.992,-2.221,102021.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-22-460,1761992422.460682,images/image_2025-11-01_15-50-22-460_0047.jpg,0.0002,-0.0344,1.457,44.817,18.832,3.55,102022.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-22-909,1761992422.9096978,images/image_2025-11-01_15-50-22-909_0048.jpg,-0.1655,-0.0066,1.0603,18.229,-34.626,-32.908,102022.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-23-865,1761992423.8656957,images/image_2025-11-01_15-50-23-865_0049.jpg,-0.3269,0.271,1.1067,17.481,-15.389,-25.779,102023.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-24-834,1761992424.8349724,images/image_2025-11-01_15-50-24-834_0050.jpg,-0.1702,0.1226,0.9949,12.427,-5.573,1.824,102024.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-25-787,1761992425.7874033,images/image_2025-11-01_15-50-25-787_0051.jpg,0.2852,0.791,0.9907,1.16,-12.626,-13.351,102025.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-26-320,1761992426.320694,images/image_2025-11-01_15-50-26-320_0052.jpg,-0.1204,0.2102,0.9307,-11.45,6.908,-2.641,102026.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-26-839,1761992426.8394685,images/image_2025-11-01_15-50-26-839_0053.jpg,-0.1458,0.2095,1.0242,-4.58,-8.481,2.611,102026.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-27-311,1761992427.311955,images/image_2025-11-01_15-50-27-311_0054.jpg,-0.145,0.2104,0.9885,13.389,-3.0,0.061,102027.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-27-851,1761992427.8518255,images/image_2025-11-01_15-50-27-851_0055.jpg,-0.1353,0.2166,0.9624,-18.504,0.702,3.427,102027.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-28-401,1761992428.4012585,images/image_2025-11-01_15-50-28-401_0056.jpg,-0.1345,0.2515,0.9248,3.901,15.885,-2.198,102028.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-28-897,1761992428.897443,images/image_2025-11-01_15-50-28-897_0057.jpg,-0.1375,0.1775,0.981,3.473,-2.656,1.26,102028.00,N/A,N/A,N/A,N/A,N/A,N/A,V
2025-11-01_15-50-29-343,1761992429.3432457,images/image_2025-11-01_15-50-29-343_0058.jpg,-0.157,0.2993,0.9307,-8.221,-1.992,1.031,102029.00,N/A,N/A,N/A,N/A,N/A,N/A,V
